language,location,messsage
es,Alberdi - Tucuman,"RT @maquidpinto: Aber cajetitas, celebren la empatía!!! Sea por notre dame,  la guerra en Medio Oriente, el cambio climático, el hambre en el mundo, lo que sea! Me tienen re podrida criticando todo en vez de autoanalizarse y ser mejores personas para este mundo q tanto los indigna por pelotudeces"
fr,"Paris, France","RT @remembrancermx: If your heart feels sadness towards Notre Dame, spare a thought for Jerusalem’s Al-Asqa Mosque https://t.co/dDAckNDs9u"
pt,"Santos,Brazil","RT @jeferson: Dois dias após o incêndio do Museu Nacional, Bolsonaro debochou e disse “já pegou fogo, quer que faça o quê?”. Duas horas após a tragédia de Notre-Dame, ele manifesta “profundo pesar” ao povo francês. Nunca houve Presidente tão vira-lata q desprezasse tanto nossa própria história"
en,,Take one look at the throngs cheering as Notre Dame burned and tell me there isn't an ideological war being waged over the spirit of Western Civilization.
en,,"RT @AndrewPollackFL: Over the last month, 12 Catholic churches have been attacked in France. 

French officials: silent
Church officials: silent
Media: silent
Muslim Immigrants: celebrate
#FixIt https://t.co/aIf6qzH7FW"
es,"Soria, España","RT @YaserMorazan: Estaba triste por la quema de la catedral Notre Dame, pero luego recuerdo que nunca conocí y se me pasó. Ah, también me acordé que tengo un papá preso político, que hay más de 800 secuestrados, 500 asesinados y aja...."
en,"Coventry, England","RT @TVsCarlKinsella: With a click of their fingers, TWO French billionaires have given €300million to restore Notre Dame. Just imagine if billionaires cared as much about uhhhh human people."
en,"Windsor, Ontario",RT @FOX2News: Notre Dame's burning has Detroit pastors worried for their own churches https://t.co/TE8EcVWjGn
en,Cincinnati,"RT @SohrabAhmari: Notre Dame is a monument to Western civilization! How is saying so anti-Islamic incitement or “far-right”?

Enough of this semi-literate nitwittery! Is Fred Hiatt editing WaPo opinions or some third-rate Edward Said wannabe at Fresno State? https://t.co/0BaRGRTk7h"
en,India,"RT @NatGeo: Although historian Andrew Tallon passed away last fall, his scans from more than 50 locations in and around Notre Dame helped revolutionize our understanding of how it was built https://t.co/vd7D5rlmig"
en,"Pennsylvania, USA","RT @WBNG12News: French student at Binghamton University calls Notre Dame fire ‘heartbreaking’ 
https://t.co/66DSq1ZFxd https://t.co/RjVPBJ8mZS"
en,"Louisville, KY Y'all!",University of Notre Dame Indiana donating $100k to the rebuilding of the great cathedral in Paris! Thank you Father Jenkins #NotreDameUniversityIndiana #NotreDameFire
en,"Louisville, KY Y'all!",University of Notre Dame Indiana donating $100k to the rebuilding of the great cathedral in Paris! Thank you Father Jenkins #NotreDameUniversityIndiana #NotreDameFire
fr,,RT @hugoclement: Ce type qui proposait de couper les arbres pour lutter contre les incendies en Californie est en train de nous expliquer comment éteindre le feu de Notre Dame. https://t.co/2zY7eYMOmM
es,Venezuela,Notre Dame le pertenece a todos https://t.co/m9dXpNdx4e DWespañol #TrueNewsDInforma https://t.co/rCARc23FD7
id,"DKI Jakarta, Indonesia","French Heritage Society, LSM Amerika yang didedikasikan untuk melestarikan kekayaan budaya dan arsitektur Prancis, pada Senin (15/4) meluncurkan laman daring untuk menggalang dana perbaikan katedral. 

https://t.co/6bsdOhbGPc"
en,,RT @e_lenzzz: I've been to notre dame 3x and it's beautiful but I can't help but notice how a european catholic church fire is a global tragedy while the west continues to bomb out cities in the middle east and destroy their ancient structures and shrug it off
en,United States,"RT @cedricfaiche: « Au peuple de France je voudrais dire que la cathédrale Notre Dame, c’était comme un cadeau à l’espèce humaine.  Nous partageons la douleur mais nous vous remercions aussi de ce cadeau à la civilisation. » 
@PeteButtigieg à @BFMTV 
Et en français! 🇫🇷🇺🇸
#NotreDame https://t.co/0xbf5lGhYH"
es,,RT @sieteink: dios no sé cómo silenciar notre dame y si leo otro tuit quejándose que q hayan pelotudas festejando que se prendió fuego porque ay la cultura ay el arte voy a arrancarme los dientes dios quien me mandó a no saber usar tuiter
es,,"RT @CaraotaDigital: #16Abr | Cinco años: el plazo que fijó Macron para reconstruir Notre Dame tras voraz incendio       ,*       https://t.co/ZfAJuF8IQV"
en-gb,,"I knew this was coming. They needed the funds for a long time and couldn’t get it, now look. Nothing to see here folks, move a long 👀 https://t.co/iFf73wU6CK"
es,CUU.,RT @hebertosinlao: Caída de la torre de Notre Dame con música de La Rosa de Guadalupe. https://t.co/cbsv5eOQI7
en,"EVERYWHERE,USA","RT @EdKrassen: The Notre Dame Cathedral Fire is horrific, and it's nice that Trump &amp; Pence took time to tweet their thoughts &amp; prayers to the people of Paris, but why the hell haven't they tweeted a single word about the three black churches that burnt down in America this month?

America 1st?"
es,"El Coronil, Sevilla","RT @elbarroquista: Con más de 24 horas de distancia sobre el terrible incendio que sufrió ayer la catedral de Notre-Dame de París, me gustaría hacer una serie de consideraciones.

HILO https://t.co/G0y4l2qIwQ"
th,"Bangkok,Thailand","RT @washikirei: คำที่ใช้เรียกศาสนสถานในศาสนาคริสต์มีเยอะหลายคำมาก และถอดเป็นคำไทยได้หลายแบบ

Basilica : มหาวิหาร เช่น St. Peter Basilica (มหาวิหารนักบุญปีเตอร์) ในวาติกัน

Cathedral : อาสนวิหาร เช่น Notre-Dame Cathedral (อาสนวิหารนอทร์-ดาม) ในปารีส

Church : ใช้เรียกโบสถ์ทั่วไป"
es,,► Bomberos logran apagar catastrófico incendio en Notre Dame ¡Así quedó! (Videos) https://t.co/DUFCm5q2QY https://t.co/ZCqXEUihp2
fr,Montréal,RT @Antagoniste_net: Tous les braves qui ont fait aller leur machine à outrage à propos de l’étourderie d'Hubert Lenoir sur l'incendie de Notre-Dame semblent avoir perdu le courage de dénoncer TVA... https://t.co/nGwCH6EZWj
es,D.F.,"RT @lopezobrador_: Lamento el incendio en la catedral de Notre Dame, en París, Francia. Es una desgracia para el arte, la cultura y la religión."
es,"Buenos Aires, Argentina",RT @champagnegay_: impresionante el video de la caida de una de las torres de notre dame !!! https://t.co/6qYxmMaQCC
en,"Tallahassee, America","RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,"Salta, Argentina",Mi Notre-Dame de alabastro - https://t.co/5U6lyCmVxr #Salta via @iruyacom
en,,https://t.co/cPwSzfmbty
en,"Ventura, CA",RT @kylebeshears: This picture of the cross still standing amid the ruins of Notre Dame is quite the picture of hope. https://t.co/lON2eyDPda
en,Thailand,"RT @peachsy_: The cross surviving the fire is so powerful to witness. 
เห็นภาพ ไม้กางเขนในวิหาร Notre Dame ที่ไม่ไหม้ไฟไปด้วยแล้วนึกถึงไฟไหม้ในประเทศเรา มันจะแบบบังเอิญมากที่ของบางอย่างเช่น องค์พระ, ภาพพระบรมสาทิสลักษณ์ หรือภาพสำคัญไม่ไหม้ไปด้วย กรณีนี้ก็เช่นกัน คนที่ได้เห็นก็ศรัทธาเพิ่มไปอีก https://t.co/uxmxtFDbyH"
en,CA|MN,"RT @Dadinista: Yes, the Catholic Church has hundreds of billions of dollars. 

No, she can't just use some of that to restore Notre Dame. 

It's all earmarked for the construction of our space fleet.

Please educate yourself before you tweet. https://t.co/eiJubO1Dfk"
en,,"RT @Navy_Lady_45: @KatTheHammer1 @TrumpStorm2 @IlhanMN @southernwayjim @LibsHateGrizz @BullPup2A @Truthseeker126 @1Stubborngirl @megdogwuff @michaelbeatty3 @FuctupMike @mikandynothem @VFL2013 When I saw #IlhanOmar called Notre Dame ""Architecture and art"" I was LIVID.  I'm offended by her minimizing #Christianity and my faith just like she did with 9/11.

#SomePeopleDidSomething
#Infiltrator
#TrojanHorse
#JiJi

#ResignIlhanOmar"
en,w Jasmin,"RT @EdKrassen: So let me get this straight.  Trump is offering to help France in rehabilitating the Notre Dame Cathedral but he won’t do a single thing for Puerto Rico or Flint Michigan.

That’s not America First!
That’s white people first!"
pt,"na tua, bb","RT @Rjrr_7: Sobreviveu a Revolução Francesa e a duas guerras mundiais. Corou dezenas de Reis. E nela, Napoleão se tornou Imperador. Quase 1 milênio de história. Majestosa foi Notre-Dame. https://t.co/InhHIWu4HY"
es,,"RT @CharIieHebdo: Se incendia Notre Dame.
Ah no, Perdón, la foto es de Siria bombardeada por Francia hace menos de 2 años. https://t.co/iYPRlVRvYN"
es,B/manga,RT @EccehomoSetrina: Ultramillonarios colombianos también se meten la mano al dril para la reconstrucción de Notre Dame. https://t.co/ejy3rOCwfg
en," San Diego, California","RT @mehdirhasan: Over the past week, Senate Minority Leader @SenSchumer has had time to tweet about Notre Dame, Julian Assange, &amp; net neutrality, among many other issues. 

But not one word in support of @IlhanMN or in condemnation of Donald Trump’s vile &amp; racist attacks on her. 

Shame on him."
de,Stuttgart,"*Notre dame brennt*

Normale Menschen:Oh shit hoffentlich wurde niemand verletzt

AfD: https://t.co/PiCKQA9879"
fr,,RT @ChanaBenaissa: Le CRCM Rhône-Alpes exprime sa grande compassion à tous les Catholiques de France. Suite à cet évènement tragique le CRCM Rhône-Alpes appelle les musulmans de France à contribuer à la souscription nationale qui a été lancée par @EmmanuelMacron pour la reconstruction de Notre-Dame
en,,"RT @StefanMolyneux: If French authorities have already ruled out arson at Notre Dame cathedral, I would really like to see the methodology -surely they have some kind of documentation they can share with us."
es,,RT @ToniMacAttack: We live in a time where increasingly we’re told art is useless and public spaces are snatched up for private corporate use or destruction and I honestly think that’s why so many people are crying over Notre Dame right now.
en,"Accra, Ghana","RT @GFFN: Lyon defender Jason Denayer on the €600m committed by billionaires to restoring Notre Dame: ""A wonderful gesture but a shame that they don't do the same for the thousands of children dying of famine."" (IG)"
pt,13/09 🌈👭♥️,RT @gaygadott: notre dame on fire is the most aesthetically pleasing visually i’ve ever seen https://t.co/p6GzR1pxrQ
tr,"İzmit, Kocaeli","RT @SavciSayan: Louis Vitton 200 milyon euro
Total 100 milyon euro
Loreal 200 milyon euro 
Kering grubu 100 milyon Euro Yanan Notre Dame katedraline bağışta bulunmuş.
Merak ettim D.bakirda yakılan, yıkılan kurşunlu camii ve dört ayaklı minare için Koçlarımız,sabancılarımız kaç lira ödedi...? https://t.co/y6UEzPaGwt"
en,USA,"RT @EdKrassen: So let me get this straight.  Trump is offering to help France in rehabilitating the Notre Dame Cathedral but he won’t do a single thing for Puerto Rico or Flint Michigan.

That’s not America First!
That’s white people first!"
en,"San Francisco, California","RT @JMarieMage: NOTRE DAME DE PARIS. PART 3.
➖
Henri Le Secq, 1853

JMM will donate a percentage of its total sales in April to help restore Notre Dame de Paris spiritual heritage for the future generations.
➖
#notredame #notredamedeparis https://t.co/KtLlWohkRh"
fr,France,"RT @QasimRashid: Black church burns
•Beck: ¯\_(ツ)_/¯

2nd Black church burns
•Beck: ¯\_(ツ)_/¯

3rd Black church burns
•Beck: ¯\_(ツ)_/¯

Culprit is white supremacist
•Beck: ¯\_(ツ)_/¯

Notre Dame Burns due to human error
•Beck: How can I blame Muslims for this??

🤔
https://t.co/VvEGKOpvd5"
en,...,"RT @eugenegu: Whereas Flint doesn’t have clean drinking water, Puerto Rico hasn’t fully recovered, and 3 black churches burned to the ground without comment, Trump offers money to rebuild Notre Dame. That’s not America first. That’s white people first, even if they live in far away countries."
es,"Quito, Ecuador","RT @IsmaelUlloa11: CNN: 
Incendio en Notre Dame.

RT: 
Devastador incendio en Paris.

TELEMUNDO: 
Fuego en la Catedral.

ABC: 
Espectacular incendio. 

CARACOL: 
Las llamas arden en Paris.

JANET HINOSTROZA: 
Investiguen a Correa."
pt,na merda,RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
en,"Minneapolis, MN",Glenn Beck compares Notre Dame fire to 9/11: 'This is their World Trade Center moment' https://t.co/6W7uBM0HQP
en,somewhere,"RT @grandayy: Honestly though I've never been to Paris but I still remember climbing the Notre Dame in AC Unity, it was really well made"
en,"Colorado, USA",RT @FredTJoseph: Imagine if billionaires had the same energy for Flint as they do for Norte Dame. https://t.co/LmZRCTdw3P
es,"Ciudad Autónoma de Buenos Aires, Argentina",RT @HallucigeniaOK: ¿Por qué Catedral de Notre Dame no tenía escalinatas como otras construcciones en su tipo? Pese a la tristeza hablemos un poco de ciencia para conocer algo mas de la #geologia de Paris y su emblemática Catedral #hilodeciencia #comunicaciencia https://t.co/cPyqOvsTAY
en,"Edinburgh, Scotland ","RT @TVsCarlKinsella: With a click of their fingers, TWO French billionaires have given €300million to restore Notre Dame. Just imagine if billionaires cared as much about uhhhh human people."
en,,RT @hzsoul1: Actually can not believe our government is raising money for the Notre Dame when a family of grenfell survivors have been kicked out their TEMPORARY home as the government can’t fund them anymore. Absolutely ridiculous.
es,MEXICO,"RT @Milenio: ¡No todo se perdió! La corona de espinas de Cristo se salvó de las llamas en #NotreDame en París, Francia https://t.co/9bM4msbx7D https://t.co/maus1wq712"
es,Land of Rain and Feelings,RT @champagnegay_: impresionante el video de la caida de una de las torres de notre dame !!! https://t.co/6qYxmMaQCC
en,,RT @kylebeshears: This picture of the cross still standing amid the ruins of Notre Dame is quite the picture of hope. https://t.co/lON2eyDPda
en,"Pittsburgh, PA","RT @eugenegu: Whereas Flint doesn’t have clean drinking water, Puerto Rico hasn’t fully recovered, and 3 black churches burned to the ground without comment, Trump offers money to rebuild Notre Dame. That’s not America first. That’s white people first, even if they live in far away countries."
es,,RT @baronjimena: Si ayudaran a que la gente no muera de hambre tan rápido como donan guita para reconstruir Notre Dame...
en,,"RT @BarackObama: Notre Dame is one of the world’s great treasures, and we’re thinking of the people of France in your time of grief. It’s in our nature to mourn when we see history lost – but it’s also in our nature to rebuild for tomorrow, as strong as we can. https://t.co/SpMEvv1BzB"
en,"Maine, USA","RT @brettachapman: While Notre Dame Cathedral was being built in Europe, my Ponca ancestors were building Cahokia in North America. It became an immense Native American metropolis and transcontinental trade center defined by huge pyramids and had an estimated population of 40,000—larger than Paris https://t.co/87dWNdSdd2"
en,lonelyville,"RT @Kellie_Pryor: Why is France still collecting $500 billion a year post-colonial taxes from 14 countries in Africa though?🤔 
https://t.co/mUwgSKwraa"
en,"sa puso ng nct
",RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
es,,RT @baronjimena: Si ayudaran a que la gente no muera de hambre tan rápido como donan guita para reconstruir Notre Dame...
en,"Colorado, USA","RT @acnewsitics: Conservatives are more outraged by the imaginery arson by Muslims at the Notre Dame Cathedral, than actual arson attacks that destroyed 3 historic black churches on US soil."
en,La.,RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
en,"Waltham, Massachusetts, USA",#Brandeis fine arts professor Charles McClendon comments on the horrific fire at the Cathedral of #NotreDame in Paris &amp; the path toward renovating the iconic building. https://t.co/P9WXpzAdtL https://t.co/5S9ZpSxmwt
en,,RT @Bruno_J_Navarro: The massive financial support for Notre-Dame prompted journalist @Yashar Ali to point people toward another worthy cause: rebuilding three historically black churches in Louisiana that were recently destroyed by arson. https://t.co/5HVYTfMLOY
en,,RT @CNET: A visual history of Notre-Dame de Paris https://t.co/TFjUy0Iqeq https://t.co/iNR4NGgpft
es,,"RT @elbarroquista: Con más de 24 horas de distancia sobre el terrible incendio que sufrió ayer la catedral de Notre-Dame de París, me gustaría hacer una serie de consideraciones.

HILO https://t.co/G0y4l2qIwQ"
en,"Kansas City, MO","@ElBeardsley Fortunately, the guy in the photo works for the French Commission on Monuments and isn’t just some dude waving his Coq around in the middle of a Paris street.
https://t.co/OE5nnMD8g1"
en,Sapokanikan,"RT @highentiatomb: notre dame will likely be restored but the al-aqsa mosque, the third holiest site in islam, also caught on fire today. there was minimal damage and no lives lost but it'll probably need some repairs! if you're able to help their fundraising pages are here:
https://t.co/p6uTPuLLVJ"
pt,Curitiba - Paraná - Brasil,Bilionários se mobilizam para reconstruir Notre-Dame https://t.co/onFroGf1dv
en,Everywhere,RT @washingtonpost: Analysis: Trump and Pence tweeted about Notre Dame fire but said nothing when 3 black churches burned https://t.co/YH863rMfYw
es,,"RT @beremalfatti: Alrededor de 24.000 personas mueren cada día de hambre o de causas relacionadas con el hambre. Un 75% de los fallecidos son niños menores de cinco años.
Pero una familia, un equipo de fútbol y el novio de alguien famoso, van a donar 100 millones de euros cada uno, para Notre Dame"
en,"Punjab, Pakistan",RT @WhitneyCummings: This Notre Dame Fire turned into people bragging about their vacations to Paris very quickly
es,México,"RT @janinegibson: In a huge landmark for equality, the Mail describes Francois Henri Pinault, who built and runs a massive luxury goods conglomerate and has pledged E100m to rebuild Notre Dame, as “Salma Hayek’s husband”. https://t.co/YNLDhaivCU https://t.co/sT2vgOKBhS"
en,United States,RT @JackPosobiec: Notre Dame is not a Judeo-Christian work of architecture it is a Holy Roman Catholic Cathedral
en,United States,RT @JackPosobiec: Notre Dame is not a Judeo-Christian work of architecture it is a Holy Roman Catholic Cathedral
en,NC,RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
en-gb,Jamaica,"RT @TVsCarlKinsella: With a click of their fingers, TWO French billionaires have given €300million to restore Notre Dame. Just imagine if billionaires cared as much about uhhhh human people."
en,,"RT @chynafromindy: notre dame: *is on fire*

ppl with photos of them abroad in paris: https://t.co/MtUuUMkiZv"
en,,"RT @LouisatheLast: Reminder: if you hear or see anyone blaming Muslims for the Notre Dame fire, or even just saying it was deliberately caused, you shut that shit down. NOTHING has pointed to this being caused deliberately by anyone, and it’s dangerous to spread that kind of rumor"
en,"Birmingham, England",Firefighters used drones to tackle Notre Dame fire - Quartz https://t.co/BpeKMkaj8V https://t.co/MFttl3onRR
pt,,RT @daniasssis: amando as gay rica aproveitando o incêndio em notre dame pra postar throwback em paris
en,"Olmsted Falls, Ohio, USA","RT @SohrabAhmari: Notre Dame is a monument to Western civilization! How is saying so anti-Islamic incitement or “far-right”?

Enough of this semi-literate nitwittery! Is Fred Hiatt editing WaPo opinions or some third-rate Edward Said wannabe at Fresno State? https://t.co/0BaRGRTk7h"
en,worldwide,RT @realDonaldTrump: So horrible to watch the massive fire at Notre Dame Cathedral in Paris. Perhaps flying water tankers could be used to put it out. Must act quickly!
pt,Brasil,Metallica: Kirk posta foto de igreja em chamas... não era Notre Dame https://t.co/TQZMcGoZAS  https://t.co/CijcXlNLdm https://t.co/XSgoI5XHob
es,,"RT @enriquemaraver: La destrucción por fuego de Notre Dame, trágica.
Tan trágica como la destrucción de naturaleza y patrimonio edificado en donde se hará el Tren Maya. 
Destrucción no por fuego sino por los pies de turistas y la ambición de empresarios del ramo turístico.

¡Evitemos esta tragedia!"
es,,"Notre Dame: qué era ""el bosque"" centenario en el que se cree comenzó el incendio que devastó la catedral de París https://t.co/5vFzWxNhR0 (Vía @bbcmundo) https://t.co/19OsyOKmP7"
en,"Aylmer, Quebec, Canada","RT @UntoNuggan: Weighing in as a historian, because there seems to be some confusion about this.

Of course you are ALLOWED to grieve Notre Dame. No one is stopping you.

But maybe leave room for empathy for entire cultures that have been decimated by France/Catholicism, too."
en,"Ventura, CA","RT @avishek_banerje: Built in 1163. Took 200 years to complete. 
It survived revolutions, plagues and world wars. 
And now, the evening of April 15th 2019, the Notre Dame in Paris burns. 
All history is gone.
The world stands helpless as history disappears before our eyes. 💔  
Im so sorry #NotreDame https://t.co/oudwnundsy"
en,"Denver, CO",RT @kylebeshears: This picture of the cross still standing amid the ruins of Notre Dame is quite the picture of hope. https://t.co/lON2eyDPda
en,"Melbourne, Victoria","@DHughesy @ScottMorrisonMP @billshortenmp How did you feel about $180 million to re-open a detention center on Christmas island for a politically motivated photo op? 
At least Notre Dame  has cultural and historical merit."
en,,RT @yashar: Mayor @PeteButtigieg on the Notre Dame fire  https://t.co/BS88OXCLf7
en-gb,,RT @EmeraldRobinson: Notre Dame fire: The owner of the restoration company - which is very highly regarded - says that absolutely none of his 12 workmen were on site when the fire began. They had already left for the day. https://t.co/9a0B7dzyMB
en,"Melbourne, via CBR & NE Vic",RT @PhillipAdams_1: Zealots celebrating  the destruction of Notre Dame - seeing it only as a symbol of Catholic  oppression - are pathetic. They evoke the mentality of the Taliban who blew up the giant Bamiyan  Buddhas - or ISIL in their smashing and looting of World Heritage sites.
es,Las Palmas de Gran Canaria,"RT @el_pais: DIRECTO https://t.co/UKy41TDjwn El billonario Francois-Henri Pinault, uno de los hombres más ricos de Francia, ha anunciado que donará 100 millones de euros para restaurar Notre Dame"
en,"Salem, OR","RT @meganromer: My heart is broken over the loss of Notre Dame. 

The Catholic Church is also one of the world’s wealthiest entities. 

If you are going to donate money to rebuild a church this week, I implore you to make it the black churches in St. Landry Parish. 

https://t.co/HBh4n80nT1"
en,,RT @emma_chapple: The artists who worked on Disney's The Hunchback of Notre Dame were allowed private access into the Cathedral and out of it came some of the most gorgeous artwork in any animated film. This is all I have to add 💔 https://t.co/nJRHfYbq3m
pt,Brasil,"VÍDEOS expõem incêndio em mesquita histórica de Jerusalém - Enquanto as chamas queimavam a Catedral de Notre-Dame em Paris, um incêndio de proporções menores atingia a mesquita Al-Aqsa em Jerusalém, 3º local mais sagrado para os muçulmanos @LFeministe @lolaescreva @pavarini"
es,,RT @MVivant: La capilla de guadalupe en notre dame https://t.co/f4APphoJj8
en,,"RT @washikirei: คำที่ใช้เรียกศาสนสถานในศาสนาคริสต์มีเยอะหลายคำมาก และถอดเป็นคำไทยได้หลายแบบ

Basilica : มหาวิหาร เช่น St. Peter Basilica (มหาวิหารนักบุญปีเตอร์) ในวาติกัน

Cathedral : อาสนวิหาร เช่น Notre-Dame Cathedral (อาสนวิหารนอทร์-ดาม) ในปารีส

Church : ใช้เรียกโบสถ์ทั่วไป"
ja,tokyo,"RT @atmsphrca: ノートルダム大聖堂の復旧にアサシンクリードのデータが役立つかも、とニュースに出てる。ゲーム、精緻な3Dデータが現実を救う例になりそう Silver lining: Late art historian's work, 'Assassin's Creed' video game could help rebuild Notre Dame https://t.co/H5IjIOZtVf"
en,,"RT @grouchybagels: I know this doesn't help, but we have exquisite 3D laser maps of every detail of Notre Dame, thanks to the incredible work of @Vassar art historian Andrew Tallon. Prof Tallon passed away last November, but his work will be absolutely crucial https://t.co/YJl3XXUZTg"
en,"Lagos,Nigeria",RT @piersmorgan: BREAKING: French billionaire François-Henri Pinault pledges immediate 100 MILLION EURO donation to help rebuild Notre-Dame Cathedral. Amazing. 👏👏 https://t.co/P5apT6JREL
en,"Aurora, CO","RT @EdKrassen: So let me get this straight.  Trump is offering to help France in rehabilitating the Notre Dame Cathedral but he won’t do a single thing for Puerto Rico or Flint Michigan.

That’s not America First!
That’s white people first!"
en,,ppl posting their pics of them at the notre dame cathedral on ig is the weirdest flex
en,,"RT @sianoresist: The French government just responded to Trump's suggestion of using ""flying water tankers"" on Notre Dame fire in Paris:

They say that doing so could collapse the ""entire structure.""

Raise your hand if you think Donald Trump is stupid. 🙋‍♂️"
es,CARACAS-VENEZUELA,RT @ElNacionalWeb: El papa desea que Notre Dame vuelva a ser patrimonio de la humanidad https://t.co/k4vLszE6iY  https://t.co/5JF1GwZiSq
en,"Fargo, ND","WATCH: As the tragic news of yesterday's fire at Notre Dame spread around the world, several people in the Valley have now taken to social media to share their memories of their time at the historic cathedral. 

FULL: https://t.co/flMSc5541l https://t.co/UCuGvFfWuN"
en,,"RT @QasimRashid: Black church burns
•Beck: ¯\_(ツ)_/¯

2nd Black church burns
•Beck: ¯\_(ツ)_/¯

3rd Black church burns
•Beck: ¯\_(ツ)_/¯

Culprit is white supremacist
•Beck: ¯\_(ツ)_/¯

Notre Dame Burns due to human error
•Beck: How can I blame Muslims for this??

🤔
https://t.co/VvEGKOpvd5"
en,"Los Angeles, CA",RT @jameybennett: Helpful reflection from @FrAndrewSDamick on Notre Dame cathedral:  https://t.co/NRaYpNnwEa
en,"Charlotte, NC","When it comes to America donating a crazy amount of money, I get the frustration. But a lot of y’all are reaching with being mad about Notre Dame and the donations lmao a lot of that money was donated by that country and it’s people."
en,"Salvador - Bahia , Brasil","RT @_zombrownie: Pessoas desqualificando a dor com o incêndio de notre dame por que era uma igreja, não sei se dá mais vontade de vomitar ou de cobrir de porrada."
en,"Elysium Planitia, Mars","RT @ABC: Notre Dame Cathedral's famed rose windows, organ spared, church official says. The large round windows that date back to 1250. https://t.co/eghy2VvvGo https://t.co/3MKJnWr5Vo"
en,,RT @CBSNews: STILL STANDING: Footage shows Notre Dame Cathedral's crucifix and altar intact after a large fire ravaged the 850-year-old landmark. Firefighters extinguished the fire Tuesday morning https://t.co/nw75WZpPba https://t.co/2BQcuHewQS
en,"London, England",All these posts about the Notre Dame fire and the only thing I can remember is how I found a bench inside and slept for 5 hours the first time I went there 🤦🏽‍♂️
en,"Ras Al Khaimah, United Arab Emirates",Guys its okay to be sad about both the Masjid Al-Aqsa and the Notre Dame https://t.co/PDt63UzHHQ
pt,Santa Catarina,"RT @Haddad_Fernando: Será que bilionários brasileiros se mobilizarão para reconstruir o Museu Nacional? Calma, é só uma pergunta!
“Bilionários se mobilizam para reconstruir Notre-Dame”
https://t.co/WY742ypTFg"
en,"Lagos,London,New-york city","RT @UberFacts: Construction of the Notre-Dame de Paris cathedral began in 1163 and wasn't completed until 1345.

It took 182 years to build."
en,USF,"RT @jadaj: As Notre Dame burns I can’t help but think of these sacred Djap Wurrung trees. The potential loss is the same. 800 years. Both deeply spiritual places, places of sanctuary, of faith, of deep connection and healing. https://t.co/keoZzP97As"
en,chicago,RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
en,,"RT @dianadarke: Notre-Dame's architectural design, like all Gothic cathedrals in Europe, comes directly from #Syria's Qalb Lozeh 5th century church - Crusaders brought the 'twin tower flanking the rose window' concept back to Europe in the 12th century. It's is #Idlib province, still standing... https://t.co/S0WxmClpw7"
en,Demi's stan,RT @ladybaguettee: @brookeawindsor My last photos of our beautiful Notre Dame 🤧 mon cœur est brisé https://t.co/r0xAEDBRXg
en,"Decatur, GA","RT @CityLab: Before his death, an American historian laser-scanned Notre-Dame inside and out. Now his work could be the key to restoring the cathedral after a devastating fire, writes @alexismadrigal. https://t.co/IzefV7Oc9x"
en,Windy City/Chicago,RT @TIME: Paris firefighters release dramatic footage of their battle to save Notre Dame https://t.co/hj8A8vUJSw https://t.co/sB69AYrq8H
en,,"RT @RT_com: ‘Perhaps flying water tankers could be used to put it out’ – Trump on Notre Dame fire

‘All means are being used, except for water-bombing... which, if used, could lead to the collapse of the entire structure’ – French civil defense agency

https://t.co/tPs6p8ByeD"
en,"Windsor, Ontario",RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
en,"Newcastle, Washington",Where’s the flying water tankers? I need a bath. #TrumpFlyingWaterTankers https://t.co/MUCXalS8XL
es,"Santiago, Chile","¿Qué pasará con la catedral de Notre Dame? Las dudas, preguntas y temores tras incendio que consumió a uno de los ""símbolos"" de Europa https://t.co/Kal91RVHFW https://t.co/43PJqFtyPq"
es,"Tlaxcala, México","Assassin's Creed: Unity podría ser utilizado para reconstruir #NotreDame

También, existe información detallada a través de modelos capturados por láser del lugar en 3D ➡ https://t.co/mQaapu7ZQd 
#Tlaxcala500Años https://t.co/UoeOxlA66g"
